Date,Amount,Category,Description
09-01-2025,1500.00,Rent,September rent
09-02-2025,65.25,Groceries,Walmart grocery shopping
09-03-2025,24.50,Transport,Uber ride to work
09-04-2025,14.99,Entertainment,Netflix monthly
09-05-2025,120.00,Utilities,Electricity and water bill
09-06-2025,5.75,Coffee,Starbucks coffee
09-07-2025,83.00,Shopping,New backpack
09-08-2025,300.00,Health,Dental checkup
09-10-2025,9.00,Transport,Bus fare
09-11-2025,60.00,Groceries,Trader Joe's groceries
09-13-2025,90.00,Health,Gym membership
09-14-2025,95.00,Shopping,Clothing store
09-15-2025,60.00,Utilities,Internet bill
09-18-2025,32.00,Entertainment,Movie tickets
09-21-2025,16.50,Coffee,Cafe visit
09-23-2025,150.00,Transport,Train pass
09-26-2025,220.00,Shopping,New phone accessories
09-28-2025,15.00,Coffee,Latte and pastry
09-30-2025,35.00,Groceries,Costco
10-01-2025,1500.00,Rent,October rent
10-02-2025,70.10,Groceries,Whole Foods
10-03-2025,25.00,Transport,Uber trip
10-04-2025,14.99,Entertainment,Spotify Premium
10-05-2025,110.00,Utilities,Gas and water bill
10-06-2025,4.50,Coffee,Latte
10-07-2025,40.00,Shopping,Amazon order
10-08-2025,100.00,Health,Medical consultation
10-09-2025,20.00,Transport,Taxi fare
10-11-2025,50.00,Groceries,Local market
10-12-2025,85.00,Health,Physio session
10-13-2025,95.00,Shopping,Running shoes
10-15-2025,60.00,Utilities,Internet + phone
10-18-2025,25.00,Entertainment,Video game
10-19-2025,12.00,Coffee,Cappuccino
10-22-2025,160.00,Transport,Monthly subway pass
10-25-2025,80.00,Shopping,Clothing
10-28-2025,45.00,Groceries,Target
10-29-2025,35.00,Coffee,Brunch café
10-31-2025,100.00,Entertainment,Halloween party
11-01-2025,1500.00,Rent,November rent
11-02-2025,68.40,Groceries,Walmart groceries
11-03-2025,19.75,Transport,Uber to airport
11-04-2025,14.99,Entertainment,Hulu monthly
11-05-2025,115.00,Utilities,Electricity bill
11-06-2025,6.25,Coffee,Flat white
11-07-2025,120.00,Shopping,Winter jacket
11-08-2025,250.00,Health,Eye checkup and glasses
11-09-2025,10.00,Transport,Bus pass
11-10-2025,55.00,Groceries,Trader Joe's
11-12-2025,90.00,Health,Gym renewal
11-13-2025,80.00,Shopping,Gift shopping
11-15-2025,65.00,Utilities,Internet bill
11-17-2025,30.00,Entertainment,Concert ticket
11-19-2025,18.00,Coffee,Coffee and muffin
11-21-2025,140.00,Transport,Train pass
11-23-2025,95.00,Shopping,Shoes
11-25-2025,40.00,Groceries,Farmers market
11-27-2025,150.00,Entertainment,Thanksgiving dinner
11-29-2025,20.00,Coffee,Espresso
11-30-2025,130.00,Shopping,Cyber Monday deal
